@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3}

@data
219,'2020/04/27 08:47:51:132',5,0.042107,0.154601,-0.310954,-0.124483,1
220,'2020/04/27 08:47:51:354',5,-0.31961,-0.253381,0.527097,0.308568,1
221,'2020/04/27 08:47:51:527',5,0.276332,0.094559,0.564831,-0.255851,1
222,'2020/04/27 08:47:51:716',5,0.886566,-0.195802,0.264504,-2.865075,1
223,'2020/04/27 08:47:51:882',5,-0.863618,0.31604,-1.466197,5.964914,1
224,'2020/04/27 08:47:52:053',5,-0.403547,0.052671,0.62274,-3.203205,1
225,'2020/04/27 08:47:52:235',5,0.361717,-0.207109,-0.608155,0.056051,1
226,'2020/04/27 08:47:52:471',5,0.260207,0.078365,1.196026,0.153119,1
227,'2020/04/27 08:47:52:701',5,0.269925,-0.177717,-0.26609,0.210004,1
228,'2020/04/27 08:47:52:870',5,0.224783,0.26499,0.590474,-0.489906,1
229,'2020/04/27 08:47:53:031',5,-1.877861,-0.335027,-1.678752,0.189411,1
230,'2020/04/27 08:47:53:220',5,1.365765,0.21086,2.018953,0.102439,1
231,'2020/04/27 08:47:53:375',5,-0.503425,-1.226362,-2.95522,-0.043424,1
232,'2020/04/27 08:47:53:598',5,1.948723,1.130352,4.482745,-2.398046,1
233,'2020/04/27 08:47:53:756',5,-3.360754,1.618212,-4.538221,4.928402,1
234,'2020/04/27 08:47:53:931',5,3.068589,-1.708387,1.053271,-2.5727,1
235,'2020/04/27 08:47:54:112',5,-1.360482,0.128697,2.015057,0.343842,1
236,'2020/04/27 08:47:54:282',5,-0.453309,0.218579,-2.02151,-0.60295,1
237,'2020/04/27 08:47:54:523',5,-0.031773,-2.179213,0.669391,0.192529,1
238,'2020/04/27 08:47:54:730',5,0.869316,3.916891,0.676029,0.230998,1
239,'2020/04/27 08:47:54:937',5,-1.112766,-1.570991,-0.097984,0.19645,1
240,'2020/04/27 08:47:55:133',5,1.753095,-0.476808,-0.406166,-0.794213,1
241,'2020/04/27 08:47:55:316',5,-0.820032,-0.066703,-0.468803,0.589304,1
242,'2020/04/27 08:47:55:487',5,-0.212539,0.257024,0.487362,3.155489,1
243,'2020/04/27 08:47:55:681',5,0.940039,-0.157804,-0.340494,-6.538765,1
244,'2020/04/27 08:47:55:915',5,-0.98267,0.293309,0.931138,3.515555,1
245,'2020/04/27 08:47:56:167',5,0.28297,-0.347554,0.991619,-3.248388,1
246,'2020/04/27 08:47:56:284',5,-0.293042,0.098696,-3.406018,5.958893,1
247,'2020/04/27 08:47:56:664',5,-0.062268,0.016371,2.541631,-2.996474,1
